city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,rocha,-34.48,-54.33,54.09,72,100,13.78,UY,1593452802
147,nishihara,26.18,127.76,82.4,88,40,17.22,JP,1593452803
148,port blair,11.67,92.75,81.45,81,100,14.88,IN,1593452803
149,hobart,-42.88,147.33,43.0,93,0,6.93,AU,1593452803
150,svetlogorsk,52.63,29.73,69.44,79,10,3.51,BY,1593452803
151,srednekolymsk,67.45,153.68,48.69,55,60,11.32,RU,1593452591
152,yulara,-25.24,130.99,42.8,38,0,5.82,AU,1593452803
153,ndungu,-4.37,38.05,70.54,57,11,3.27,TZ,1593452803
154,tokur,53.13,132.9,53.82,68,34,0.29,RU,1593452804
155,wanning,18.8,110.4,80.73,88,95,6.82,CN,1593452591
156,arraial do cabo,-22.97,-42.03,73.4,64,75,12.75,BR,1593452804
157,havelock,34.88,-76.9,89.6,52,75,2.75,US,1593452804
158,maholi,27.67,80.47,87.44,67,21,9.93,IN,1593452804
159,salto,-31.38,-57.97,54.0,93,90,8.05,UY,1593452805
160,plettenberg bay,-34.05,23.37,60.39,83,96,9.62,ZA,1593452805
161,dukat,62.55,155.55,47.91,84,81,4.41,RU,1593452805
162,souillac,-20.52,57.52,69.8,88,40,4.7,MU,1593452573
163,srandakan,-7.94,110.25,76.46,84,35,9.82,ID,1593452805
164,grande prairie,55.17,-118.8,60.8,82,40,4.7,CA,1593452805
165,qaqortoq,60.72,-46.03,53.6,54,40,11.41,GL,1593452805
166,amudat,1.95,34.95,73.71,59,25,1.54,UG,1593452806
167,vallenar,-28.57,-70.76,65.64,35,100,6.96,CL,1593452806
168,bowen,-20.02,148.23,66.0,93,12,5.82,AU,1593452806
169,bengkulu,-3.8,102.27,76.64,91,52,5.75,ID,1593452806
170,vondrozo,-22.82,47.28,59.5,100,13,2.01,MG,1593452806
171,westport,41.14,-73.36,86.0,88,90,11.41,US,1593452579
172,yellowknife,62.46,-114.35,69.01,45,20,11.41,CA,1593452807
173,nara,34.69,135.8,75.0,54,100,2.1,JP,1593452807
174,ampanihy,-24.7,44.75,64.94,93,3,3.58,MG,1593452807
175,trairi,-3.28,-39.27,83.28,71,16,10.56,BR,1593452807
176,tete,-16.16,33.59,84.2,32,20,10.29,MZ,1593452807
177,bombay,19.01,72.85,82.4,94,90,6.93,IN,1593452807
178,twentynine palms,34.14,-116.05,79.0,18,1,13.87,US,1593452808
179,narsaq,60.92,-46.05,53.6,54,40,11.41,GL,1593452808
180,batagay-alyta,67.8,130.41,55.8,64,20,1.5,RU,1593452808
181,piro,25.33,84.42,88.93,63,71,7.78,IN,1593452808
182,shakhtne,47.98,38.28,71.49,69,59,5.46,UA,1593452808
183,la massana,42.57,1.48,80.6,51,75,12.75,AD,1593452808
184,fairbanks,64.84,-147.72,57.0,76,90,5.82,US,1593452571
185,san policarpo,12.18,125.51,77.16,85,99,6.22,PH,1593452809
186,luderitz,-26.65,15.16,60.8,72,0,5.82,NA,1593452809
187,tukan,53.84,57.46,42.93,92,5,0.38,RU,1593452809
188,kununurra,-15.77,128.73,59.0,28,0,2.24,AU,1593452809
189,hambantota,6.12,81.12,82.15,78,85,15.97,LK,1593452810
190,kloulklubed,7.04,134.26,77.0,94,75,4.7,PW,1593452810
191,provideniya,64.38,-173.3,40.96,69,22,7.52,RU,1593452810
192,rio grande,-32.03,-52.1,59.0,77,20,13.87,BR,1593452810
193,half moon bay,37.46,-122.43,70.0,72,5,6.93,US,1593452810
194,ilhabela,-23.78,-45.36,68.86,78,94,11.99,BR,1593452811
195,baillif,16.02,-61.75,89.6,55,100,8.05,GP,1593452811
196,thompson,55.74,-97.86,53.6,93,90,10.29,CA,1593452704
197,malinovoye ozero,51.68,79.78,67.14,59,38,7.92,RU,1593452811
198,piacabucu,-10.41,-36.43,78.39,77,18,10.07,BR,1593452811
